age,income,experience_years,education_years,hours_worked_per_week,satisfaction_score,department,city,performance_rating,projects_completed,training_hours,remote_work_ratio,tenure_years,overtime_hours,target_salary
53.0,69468.64,34.0,19.0,34.8,6.12,Engineering,Chittagong,4.0,3.0,1.5,0.535,34.0,5.8,68292.09
60.0,73329.98,38.0,10.0,31.0,5.63,Finance,Chittagong,2.0,5.0,8.2,0.481,37.0,6.5,66155.56
21.0,21188.93,3.0,8.0,36.2,,HR,Dhaka,4.0,8.0,4.7,0.173,1.0,6.8,30169.87
48.0,55929.78,26.0,12.0,40.3,7.53,Engineering,Rajshahi,4.0,4.0,5.7,0.861,26.0,5.7,54677.17
22.0,46950.43,1.0,12.0,40.9,8.77,Finance,Khulna,4.0,6.0,6.4,0.62,1.0,9.4,39847.69
-63.0,74442.72,41.0,12.0,45.5,7.47,Marketing,Rajshahi,1.0,8.0,19.0,,39.0,3.4,65114.98
31.0,31435.15,12.0,14.0,40.6,9.98,Finance,Chittagong,4.0,4.0,1.6,0.417,11.0,7.9,35918.68
,67492.58,39.0,15.0,,5.2,Engineering,Khulna,3.0,1.0,13.4,0.451,39.0,12.8,70408.33
,45522.79,22.0,13.0,43.6,7.21,Engineering,Sylhet,5.0,2.0,14.4,0.491,22.0,0.0,42081.52
31.0,59553.47,9.0,,42.0,6.34,Sales,Rajshahi,2.0,6.0,10.1,0.072,7.0,0.0,48784.62
20.0,42511.09,2.0,19.0,53.6,4.61,Finance,Chittagong,,3.0,26.6,0.298,1.0,7.1,39900.51
53.0,54197.76,34.0,13.0,37.7,6.36,HR,Khulna,4.0,7.0,0.2,0.386,33.0,1.1,60267.28
67.0,72163.75,48.0,15.0,39.1,7.96,Marketing,Sylhet,1.0,7.0,,0.524,,4.2,71391.48
34.0,,15.0,13.0,33.3,4.47,FINANCE,Khulna,5.0,3.0,16.6,0.448,15.0,9.9,59373.09
33.0,50211.59,13.0,12.0,48.8,7.12,Marketing,Sylhet,4.0,4.0,60.1,0.598,12.0,6.9,34725.55
21.0,47007.68,3.0,8.0,32.5,,Sales,Khulna,2.0,3.0,54.5,0.82,3.0,0.4,35141.3
32.0,46479.74,11.0,8.0,37.0,7.67,Finance,Rajshahi,3.0,6.0,0.3,0.976,11.0,7.2,40302.11
55.0,58668.38,35.0,12.0,51.1,6.07,Sales,Khulna,3.0,6.0,11.2,0.557,34.0,4.8,55442.22
25.0,37771.8,5.0,9.0,40.3,6.77,Engineering,Khulna,4.0,6.0,5.6,0.631,5.0,2.6,39692.9
29.0,45642.23,11.0,16.0,29.6,8.17,Engineering,Khulna,2.0,6.0,41.1,0.709,10.0,2.0,39195.62
53.0,56489.21,33.0,16.0,45.8,8.77,Marketing,Khulna,4.0,3.0,38.6,0.351,31.0,3.3,61711.92
19.0,49671.3,0.0,19.0,53.9,8.03,Engineering,Khulna,3.0,6.0,10.0,0.257,0.0,10.5,36700.72
46.0,56702.59,28.0,18.0,41.0,6.05,Sales,dhaka,3.0,9.0,36.5,0.788,28.0,4.8,56071.13
33.0,46048.06,12.0,16.0,62.8,5.87,Sales,Rajshahi,3.0,8.0,5.1,0.504,12.0,11.3,51456.72
39.0,43123.5,20.0,18.0,37.5,2.91,Marketing,Khulna,2.0,8.0,6.8,0.006,19.0,2.8,
33.0,54290.94,15.0,17.0,39.8,8.55,Engineering,Rajshahi,4.0,1.0,12.2,0.457,14.0,10.7,43461.51
55.0,65849.29,35.0,16.0,53.6,5.43,Marketing,Chittagong,4.0,4.0,5.3,0.561,34.0,8.4,
32.0,38994.9,13.0,17.0,41.5,7.95,Engineering,Khulna,3.0,7.0,10.2,0.62,11.0,2.2,40182.59
64.0,73686.12,44.0,15.0,29.3,8.86,Engineering,Sylhet,3.0,2.0,42.8,0.103,43.0,0.0,76203.83
63.0,68759.78,45.0,19.0,29.3,6.31,Engineering,Dhaka,3.0,3.0,49.5,0.341,,7.8,68020.72
49.0,56226.11,28.0,11.0,59.5,9.69,HR,Khulna,3.0,2.0,7.2,0.783,28.0,5.8,53562.86
23.0,44520.7,2.0,14.0,63.7,,Engineering,Rajshahi,,4.0,28.8,0.814,1.0,4.6,33037.43
60.0,,41.0,19.0,53.4,6.0,HR,Khulna,1.0,3.0,21.7,0.715,41.0,0.0,70269.52
63.0,74810.76,,11.0,39.1,8.84,Engineering,Sylhet,5.0,,17.3,0.582,41.0,10.7,72010.53
25.0,38618.61,3.0,15.0,33.5,7.19,Finance,Chittagong,4.0,7.0,3.5,0.746,2.0,0.0,37202.23
25.0,39890.02,4.0,11.0,48.1,5.42,Marketing,Rajshahi,2.0,6.0,4.6,0.199,3.0,17.6,34623.42
,41212.73,22.0,8.0,47.9,9.4,Marketing,Rajshahi,3.0,11.0,5.2,0.178,21.0,9.2,41039.67
45.0,43437.37,23.0,9.0,16.9,8.69,Sales,Chittagong,5.0,5.0,5.9,0.154,23.0,5.2,43414.39
69.0,83181.21,49.0,14.0,34.9,8.45,Engineering,Rajshahi,4.0,6.0,,0.856,48.0,3.6,75221.68
20.0,,0.0,10.0,45.3,7.29,Sales,Khulna,3.0,5.0,13.3,0.535,0.0,4.4,24635.12
31.0,41697.97,11.0,17.0,36.2,6.54,Engineering,Dhaka,4.0,5.0,24.9,0.672,11.0,6.2,39582.8
18.0,40652.38,0.0,9.0,52.4,6.85,Mktg,Rajshahi,3.0,3.0,22.5,0.204,0.0,3.2,24961.2
18.0,14468.31,0.0,15.0,40.0,8.47,HR,Sylhet,4.0,4.0,23.3,0.326,0.0,6.6,17342.33
29.0,41276.25,10.0,15.0,39.6,7.42,HR,Dhaka,3.0,6.0,32.4,0.569,8.0,0.1,38632.76
58.0,63665.8,36.0,16.0,28.3,5.99,HR,Dhaka,3.0,5.0,44.4,0.436,35.0,9.9,56766.32
43.0,47948.16,22.0,18.0,49.4,8.41,HR,Dhaka,2.0,4.0,5.2,0.465,20.0,0.0,51507.33
22.0,32536.8,3.0,11.0,37.6,8.12,Engineering,Rajshahi,3.0,2.0,32.1,0.146,3.0,6.8,24337.68
,,49.0,14.0,32.0,7.87,Marketing,Khulna,5.0,3.0,7.3,0.69,47.0,8.4,77303.79
51.0,46161.27,30.0,8.0,36.8,8.34,Sales,Dhaka,3.0,8.0,4.4,0.59,30.0,9.9,47377.48
23.0,26027.63,4.0,16.0,29.8,10.0,Engineering,Rajshahi,3.0,7.0,30.2,0.832,3.0,11.0,26416.63
,56081.47,26.0,12.0,48.8,6.41,Marketing,Rajshahi,2.0,1.0,16.8,0.458,26.0,8.9,57803.72
69.0,85511.73,49.0,12.0,44.4,9.12,Marketing,Rajshahi,2.0,3.0,15.2,0.44,48.0,10.5,74281.13
43.0,54124.87,23.0,14.0,46.5,8.01,Engineering,Chittagong,,4.0,6.7,0.786,21.0,2.6,53794.37
66.0,78872.46,47.0,,29.8,6.07,Sales,Chittagong,3.0,2.0,3.0,0.391,46.0,8.5,76976.28
69.0,68730.95,49.0,10.0,25.1,6.98,Sales,Rajshahi,3.0,6.0,20.0,0.405,49.0,7.6,66653.73
48.0,64074.33,27.0,8.0,30.8,9.42,Sales,Chittagong,3.0,4.0,15.8,0.335,26.0,5.3,63094.18
20.0,32756.45,0.0,10.0,,7.3,Marketing,Khulna,3.0,6.0,10.8,0.287,0.0,3.0,24881.0
65.0,68353.12,47.0,10.0,36.7,7.78,Sales,Sylhet,5.0,4.0,21.0,0.356,45.0,10.0,72895.21
22.0,36897.24,4.0,,46.3,7.98,HR,Khulna,,4.0,0.4,0.262,3.0,1.7,24106.39
48.0,57236.99,26.0,14.0,29.3,6.76,Sales,Khulna,3.0,3.0,19.7,0.274,24.0,10.2,59815.04
49.0,57825.0,27.0,18.0,44.6,4.77,Engineering,Chittagong,4.0,4.0,13.2,0.885,26.0,8.0,52243.35
38.0,42259.76,19.0,19.0,38.3,7.62,Marketing,Rajshahi,3.0,6.0,15.0,0.582,18.0,7.2,41908.99
22.0,42115.38,0.0,14.0,53.5,6.44,Marketing,Khulna,3.0,6.0,13.7,0.532,0.0,0.0,37974.34
55.0,,35.0,17.0,44.3,7.28,Sales,Sylhet,4.0,2.0,18.2,0.807,33.0,3.4,60657.15
33.0,47498.95,15.0,19.0,49.8,7.11,Engineering,Dhaka,1.0,4.0,13.9,,14.0,12.2,43896.79
39.0,52004.69,21.0,16.0,0.0,10.0,Engineering,Sylhet,4.0,2.0,36.0,0.645,19.0,6.9,55403.31
66.0,74882.38,47.0,16.0,50.2,6.44,Finance,Rajshahi,2.0,2.0,35.8,0.738,45.0,7.1,69975.04
30.0,47524.12,8.0,16.0,55.5,8.22,Sales,khulna,3.0,5.0,9.2,0.539,7.0,4.5,43000.95
45.0,50947.58,27.0,14.0,58.4,6.48,HR,Dhaka,,6.0,7.0,0.383,27.0,3.0,53676.66
25.0,41789.17,,12.0,51.9,6.68,engineering,Sylhet,4.0,8.0,22.1,0.127,2.0,0.0,32911.5
62.0,66560.32,42.0,9.0,23.6,6.25,Engineering,Sylhet,4.0,4.0,14.2,0.405,42.0,0.0,73471.23
45.0,57251.16,25.0,19.0,34.4,6.77,Marketing,Sylhet,1.0,8.0,44.7,0.384,24.0,4.1,57075.79
21.0,34838.18,0.0,19.0,47.1,4.52,Sales,Chittagong,3.0,6.0,14.5,0.925,0.0,7.4,38084.43
37.0,41381.21,19.0,11.0,39.5,6.23,Finance,Dhaka,1.0,6.0,2.5,,19.0,1.6,45828.79
36.0,39999.61,14.0,10.0,52.7,5.49,Finance,Rajshahi,4.0,6.0,9.5,0.496,14.0,2.3,35676.72
32.0,52763.59,11.0,,35.1,8.04,HR,Dhaka,4.0,0.0,136.0,0.298,9.0,0.0,43736.49
,32672.88,3.0,10.0,46.3,8.89,Engineering,Rajshahi,3.0,5.0,15.4,0.208,1.0,1.0,28627.73
36.0,53358.02,14.0,18.0,40.4,4.57,Marketing,Khulna,2.0,11.0,6.0,0.721,14.0,12.8,49454.31
,36490.93,3.0,12.0,27.3,6.55,Engineering,Dhaka,4.0,4.0,26.8,0.2,2.0,12.3,32798.06
48.0,57657.62,28.0,10.0,43.5,6.6,Sales,Sylhet,4.0,,,0.137,26.0,3.4,59932.45
50.0,52471.18,31.0,10.0,50.4,8.4,Engineering,Khulna,4.0,3.0,36.0,0.58,30.0,3.1,58820.4
29.0,51924.22,7.0,10.0,34.6,7.47,Engineering,Chittagong,,1.0,21.8,0.688,,2.4,43548.29
66.0,86393.11,47.0,11.0,40.3,7.55,Sales,Rajshahi,5.0,5.0,1.8,0.706,46.0,0.0,96597.73
51.0,72821.36,,14.0,46.5,7.83,Marketing,Chittagong,,2.0,5.2,0.468,27.0,6.4,61704.71
23.0,35653.28,5.0,16.0,40.8,6.51,Engineering,Khulna,4.0,7.0,4.2,0.828,4.0,6.4,25650.44
41.0,46857.67,22.0,13.0,32.4,6.93,Sales,Dhaka,2.0,1.0,5.0,0.402,22.0,4.6,
28.0,53051.2,6.0,18.0,41.4,7.89,HR,Chittagong,4.0,5.0,11.7,0.321,,3.9,45964.41
66.0,72556.6,48.0,15.0,39.1,7.47,Finance,Sylhet,2.0,4.0,6.3,0.124,46.0,10.9,75377.31
36.0,52137.55,16.0,17.0,52.8,5.73,Marketing,Khulna,3.0,9.0,2.3,0.662,14.0,2.2,36874.01
63.0,65360.47,41.0,10.0,56.6,4.13,Engineering,Dhaka,3.0,2.0,15.2,0.823,39.0,7.6,68249.83
21.0,34128.3,3.0,19.0,49.0,5.58,ENGINEERING,Dhaka,3.0,6.0,34.3,0.62,2.0,3.7,29304.88
58.0,73755.18,37.0,10.0,44.5,5.81,Engineering,Sylhet,4.0,0.0,9.0,0.607,36.0,5.2,69768.12
62.0,57280.78,40.0,17.0,40.4,10.0,Finance,Khulna,3.0,,30.0,0.185,38.0,10.7,61288.48
44.0,46725.89,,10.0,32.4,7.79,Engineering,Chittagong,5.0,8.0,0.3,0.504,24.0,1.9,51666.91
59.0,67431.7,37.0,15.0,45.2,7.28,Sales,Khulna,5.0,8.0,9.4,0.5,35.0,3.2,69038.27
57.0,69552.62,37.0,18.0,38.3,5.09,Sales,Rajshahi,3.0,11.0,,0.54,36.0,0.8,67421.3
-32.0,55208.67,11.0,8.0,33.9,10.0,HR,Rajshahi,5.0,4.0,13.1,0.573,10.0,9.8,51021.51
62.0,404426.9,41.0,19.0,39.1,3.86,Sales,Khulna,4.0,5.0,11.1,0.761,39.0,5.2,158538.25
63.0,72437.14,45.0,,30.1,7.36,HR,Rajshahi,4.0,11.0,45.2,0.804,45.0,11.0,68611.49
28.0,53885.02,9.0,14.0,44.5,7.83,HR,Rajshahi,3.0,5.0,55.2,0.794,9.0,9.5,44109.99
-53.0,68559.89,34.0,13.0,34.7,,Sales,Sylhet,4.0,7.0,5.6,0.375,34.0,6.3,62369.53
20.0,35422.84,0.0,14.0,47.6,8.52,Engineering,Sylhet,3.0,2.0,2.4,0.607,0.0,11.5,37236.22
55.0,61029.25,36.0,10.0,30.7,5.62,Engineering,Dhaka,2.0,4.0,8.4,0.296,34.0,0.0,57832.22
68.0,92721.05,48.0,14.0,27.6,,Sales,Dhaka,3.0,8.0,3.0,0.246,48.0,6.6,88711.51
34.0,66798.77,16.0,14.0,44.0,7.87,Sales,Chittagong,4.0,2.0,37.3,0.595,14.0,2.0,52751.16
30.0,38012.91,12.0,8.0,43.0,7.39,Sales,Sylhet,3.0,4.0,43.2,0.536,11.0,8.4,34939.25
24.0,,6.0,8.0,47.7,5.61,Sales,Dhaka,2.0,3.0,5.3,0.643,6.0,4.2,36407.71
64.0,70996.23,44.0,19.0,41.6,7.53,Engineering,Chittagong,3.0,3.0,3.3,0.649,42.0,3.9,70439.57
31.0,34752.77,9.0,9.0,50.1,6.21,Finance,Chittagong,4.0,6.0,15.4,0.659,7.0,1.2,39376.15
38.0,45654.69,19.0,10.0,41.1,6.01,Engineering,Sylhet,3.0,5.0,2.8,0.697,,4.7,40493.13
59.0,59594.71,40.0,17.0,27.7,6.68,Marketing,Khulna,3.0,4.0,4.0,0.2,39.0,2.9,61030.55
53.0,68629.39,32.0,14.0,22.4,8.47,Engineering,Rajshahi,4.0,3.0,27.7,0.51,31.0,0.9,67087.02
54.0,61560.09,36.0,11.0,37.3,5.25,Finance,Khulna,5.0,4.0,1.2,0.453,36.0,3.4,72143.96
51.0,50575.92,29.0,13.0,51.3,7.12,Marketing,Khulna,5.0,5.0,85.7,0.025,27.0,12.2,56348.22
59.0,64167.7,41.0,17.0,37.5,,HR,Chittagong,4.0,5.0,4.5,0.301,41.0,,73985.89
23.0,48386.61,4.0,13.0,38.5,8.24,Engineering,Chittagong,4.0,2.0,34.6,0.457,3.0,6.8,34919.69
46.0,56500.73,26.0,9.0,50.6,9.55,Marketing,Chittagong,1.0,8.0,5.1,0.277,24.0,11.7,49511.02
25.0,43308.76,4.0,10.0,38.3,6.49,Engineering,Chittagong,3.0,7.0,11.1,0.397,3.0,5.9,38417.62
28.0,42444.59,10.0,9.0,36.8,5.37,Mktg,Khulna,4.0,4.0,45.0,0.583,9.0,6.0,39646.31
58.0,68460.7,37.0,9.0,,4.52,Engineering,Chittagong,4.0,5.0,13.1,0.491,35.0,3.2,66465.65
45.0,57932.44,24.0,14.0,45.3,10.0,Finance,rajshahi,4.0,3.0,9.3,0.697,22.0,9.9,55141.56
56.0,58492.24,37.0,19.0,37.8,,Engineering,Khulna,5.0,8.0,,0.191,37.0,0.0,62946.48
,61633.33,29.0,11.0,33.9,6.55,Engineering,Chittagong,5.0,8.0,0.6,0.672,28.0,9.3,57133.41
47.0,58163.23,26.0,17.0,31.3,5.33,Sales ,Ctg,3.0,2.0,22.4,0.857,26.0,1.5,56710.49
21.0,38561.43,3.0,11.0,27.1,5.76,Engineering,Rajshahi,5.0,2.0,2.5,0.698,2.0,4.4,35894.02
24.0,51823.52,5.0,11.0,62.9,6.82,Marketing,Rajshahi,2.0,5.0,1.3,0.394,3.0,3.7,41766.95
55.0,70612.54,33.0,16.0,34.4,5.44,Marketing,Rajshahi,4.0,4.0,27.4,0.399,33.0,0.9,67860.69
25.0,35237.95,3.0,8.0,33.9,6.53,Marketing,Rajshahi,3.0,6.0,25.0,0.549,3.0,3.1,27012.5
